solver,bench,solution,runtime,confl,props,vprops,vivsucc
sticky,gto_p60c235.cnf,20,823.44,20057398,415935952,0,0
sticky,gto_p60c238.cnf,20,923.52,21834266,464981168,0,0
sticky,gto_p60c239.cnf,20,185.7,6940374,140474017,0,0
sticky,gto_p60c241.cnf,20,180.99,6560853,138632202,0,0
sticky,gto_p60c243.cnf,20,269.49,9224648,182072431,0,0
sticky,gus-md5-10.cnf,20,1893.33,2050726,5978003854,0,0
sticky,hitag2-8-60-0-0xb2021557d918860-94.cnf,20,8850.42,32613812,7848109502,0,0
sticky,homer17.cnf,20,7582.53,165520291,2688408937,0,0
sticky,huck.col.11.cnf,20,175.86,9791380,218527361,0,0
sticky,ibm-2002-23r-k90.cnf,10,193.44,1143712,1048582132,0,0
sticky,k2mul.miter.cnf,20,1818.63,8626936,7633883319,0,0
sticky,Karatsuba4477457x5308417.cnf,10,516.09,3854980,398876010,0,0
sticky,Karatsuba6972593x13466917.cnf,10,671.76,4460807,487625928,0,0
sticky,Karatsuba7654321x1234567.cnf,10,303.84,2677642,262726837,0,0
sticky,korf-18.cnf,20,489.63,6038181,1828417146,0,0
sticky,lei450-05b-05.cnf,10,6.33,233888,14818715,0,0
sticky,magicSquare-8_glb.cnf,10,64.08,2374229,313711230,0,0
sticky,magicSquare-9_glb.cnf,10,103.8,3468207,554586969,0,0
sticky,maxor128.cnf,20,4887.09,14529958,23128518458,0,0
sticky,maxxororand032.cnf,20,912.3,8537017,2390742015,0,0
sticky,mchess_15.cnf,20,215.82,5964075,96514597,0,0
sticky,mchess_16.cnf,20,2995.05,36086286,644824175,0,0
sticky,mix034_rmo.opt_false-unreach-call.i-cbmc-u2.cnf,10,87.36,458665,446210523,0,0
sticky,miza-sr06-md5-48-01.cnf,10,316.02,2508494,1168575639,0,0
sticky,mizh-md5-47-3.cnf,10,403.77,3052513,1436978790,0,0
sticky,mod8-abd-yad.rules.7-7.cnf,10,46.77,26224,145781088,0,0
sticky,modgen-n200-m90860q08c40-1006.cnf,10,68.79,992314,218375077,0,0
sticky,modgen-n200-m90860q08c40-11953.cnf,10,287.34,2972406,700703886,0,0
sticky,modgen-n200-m90860q08c40-12992.cnf,20,0.9,1899,66806,0,0
sticky,modgen-n200-m90860q08c40-1434.cnf,10,3216.66,17514560,4167993158,0,0
sticky,modgen-n200-m90860q08c40-14424.cnf,20,33.63,518059,113662766,0,0
sticky,modgen-n200-m90860q08c40-15163.cnf,20,0.75,2248,85922,0,0
sticky,modgen-n200-m90860q08c40-15606.cnf,10,41.94,649044,142870698,0,0
sticky,modgen-n200-m90860q08c40-1585.cnf,10,22.86,421665,82425710,0,0
sticky,modgen-n200-m90860q08c40-16597.cnf,10,111.09,1410807,329089928,0,0
sticky,modgen-n200-m90860q08c40-1876.cnf,10,368.82,3622294,841831322,0,0
sticky,modgen-n200-m90860q08c40-18788.cnf,10,803.04,6791917,1554629551,0,0
sticky,modgen-n200-m90860q08c40-18972.cnf,10,6069.33,27451179,6406909811,0,0
sticky,modgen-n200-m90860q08c40-19419.cnf,10,87.15,1181320,276353934,0,0
sticky,modgen-n200-m90860q08c40-2087.cnf,10,1897.23,13155665,3079104582,0,0
sticky,modgen-n200-m90860q08c40-21438.cnf,20,0.69,920,34419,0,0
sticky,modgen-n200-m90860q08c40-22556.cnf,10,18.33,335241,68834301,0,0
sticky,modgen-n200-m90860q08c40-25297.cnf,10,12.63,232816,47482258,0,0
sticky,modgen-n200-m90860q08c40-28046.cnf,20,3.72,73425,11575189,0,0
sticky,modgen-n200-m90860q08c40-29020.cnf,20,0.9,2089,67230,0,0
sticky,modgen-n200-m90860q08c40-3866.cnf,20,0.72,2227,84627,0,0
sticky,modgen-n200-m90860q08c40-5377.cnf,20,0.84,1218,42414,0,0
sticky,modgen-n200-m90860q08c40-6295.cnf,20,0.78,2114,82573,0,0
sticky,modgen-n200-m90860q08c40-6336.cnf,10,80.4,1151843,260269965,0,0
sticky,modgen-n200-m90860q08c40-6967.cnf,10,5026.23,24027080,5421177596,0,0
